mano,dedo_id,timestamp,ax,ay,az,gx,gy,gz,label
R,0,1425451,-5.687,-7.008,3.122,-0.192,-0.057,0.128,K
R,1,1425454,-8.525,-2.863,2.441,-0.027,0.798,0.751,K
R,2,1425457,-9.578,1.31,-1.601,-0.089,-0.051,0.269,K
R,3,1425460,-8.464,3.956,-2.435,-0.046,0.003,-0.037,K
R,4,1425463,-7.599,4.808,-2.319,-0.072,-0.01,0.014,K
L,0,1412167,-7.156,3.632,6.002,0.001,-0.056,0.007,K
L,1,1412171,-7.197,1.453,6.153,0.031,-0.007,-0.019,K
L,2,1412175,-7.586,1.869,5.298,0.059,-0.018,0.001,K
L,3,1412179,-8.201,-1.846,4.677,0.051,0.001,-0.013,K
L,4,1412183,-8.479,-3.269,2.957,0.002,0.025,0.03,K
R,0,1431509,-6.991,-5.856,3.273,-0.565,-0.401,0.36,K
R,1,1431512,-9.182,-0.905,3.16,-0.468,-0.657,0.355,K
R,2,1431515,-9.571,3.814,-2.228,-0.775,0.055,0.189,K
R,3,1431518,-7.835,5.679,-2.277,-0.941,0.261,-0.256,K
R,4,1431522,-6.564,6.182,-2.409,-0.791,0.316,0.003,K
L,0,1418187,-7.855,4.614,4.713,0.004,-0.025,0.035,K
L,1,1418191,-8.673,1.279,4.503,0.029,0.019,-0.003,K
L,2,1418195,-9.213,0.627,3.382,0.048,0.011,0.008,K
L,3,1418199,-9.558,-1.453,2.187,0.034,0.015,-0.003,K
L,4,1418203,-9.177,-3.164,1.134,-0.007,0.025,0.035,K
R,0,1437567,3.105,-3.372,8.945,0.581,-0.786,0.165,K
R,1,1437570,2.227,-1.148,8.936,-0.034,0.05,0.752,K
R,2,1437573,-6.3,3.115,6.164,-0.692,-0.214,0.447,K
R,3,1437576,-7.591,3.989,5.953,-0.607,1.835,-0.063,K
R,4,1437579,-5.573,6.164,6.554,-0.889,0.738,0.088,K
L,0,1424207,-8.751,3.639,4.166,-0.033,-0.107,-0.009,K
L,1,1424211,-9.214,0.369,3.968,-0.002,-0.062,-0.051,K
L,2,1424215,-9.295,-0.277,3.406,0.044,-0.109,-0.016,K
L,3,1424219,-9.456,-2.234,0.745,0.073,0.023,-0.035,K
L,4,1424223,-8.912,-3.944,0.001,-0.055,-0.096,-0.219,K
R,0,1443625,4.045,-2.058,9.018,-0.165,-0.036,0.062,K
R,1,1443628,4.053,-0.81,8.69,-0.109,-0.152,0.032,K
R,2,1443631,-5.213,3.771,7.083,0.016,-0.128,0.02,K
R,3,1443634,-4.9,3.764,7.247,-0.048,0.026,0.012,K
R,4,1443637,-2.853,5.99,7.247,-0.078,0.03,-0.007,K
L,0,1430227,-8.851,4.041,3.949,-0.042,-0.083,0.002,K
L,1,1430231,-9.331,0.605,3.812,-0.011,-0.037,-0.044,K
L,2,1430235,-9.553,-0.035,3.226,0.016,-0.084,-0.023,K
L,3,1430239,-9.835,-1.826,0.706,0.02,-0.058,-0.071,K
L,4,1430243,-9.014,-3.645,-0.321,-0.076,-0.094,-0.201,K
R,0,1449684,2.63,-5.004,8.716,-0.192,-0.006,0.013,K
R,1,1449687,4.766,-2.672,8.288,-0.099,-0.027,-0.019,K
R,2,1449690,-9.313,0.543,3.19,0.021,-0.179,-0.041,K
R,3,1449693,-6.329,3.15,6.71,-0.07,0.02,-0.027,K
R,4,1449696,-4.356,5.401,6.905,-0.081,0.034,-0.03,K
L,0,1436247,-8.425,4.108,3.862,-0.047,-0.045,0.017,K
L,1,1436251,-8.956,0.803,3.664,-0.017,-0.021,-0.025,K
L,2,1436255,-9.219,0.136,3.014,0.004,-0.045,-0.011,K
L,3,1436259,-9.572,-1.651,0.723,-0.001,-0.023,-0.052,K
L,4,1436263,-8.881,-3.279,-0.269,-0.027,-0.036,-0.127,K
R,0,1455741,4.308,-0.71,8.672,-0.475,0.248,0.279,K
R,1,1455744,7.015,-0.453,6.97,-0.365,0.01,-0.104,K
R,2,1455747,-2.611,2.537,9.164,0.627,-0.222,-0.407,K
R,3,1455750,-3.97,2.184,9.969,-0.191,3.384,-0.026,K
R,4,1455753,-5.989,2.146,10.051,-0.872,2.527,-0.81,K
L,0,1442267,-8.113,4.016,3.814,-0.034,-0.005,0.044,K
L,1,1442271,-8.733,0.615,3.596,-0.004,0.021,-0.011,K
L,2,1442275,-9.037,-0.059,3.005,0.018,0.0,0.001,K
L,3,1442279,-9.427,-1.762,0.619,0.013,0.01,-0.008,K
L,4,1442283,-8.861,-3.345,-0.26,-0.04,0.0,0.012,K
R,0,1461799,4.332,-2.102,8.898,-0.397,0.476,-0.127,K
R,1,1461802,6.57,-1.198,7.057,-0.181,0.425,-0.215,K
R,2,1461805,-5.466,1.438,7.768,0.4,0.254,-0.182,K
R,3,1461808,-8.384,1.04,2.919,0.339,0.361,0.104,K
R,4,1461811,-6.929,1.832,5.223,0.347,0.339,-0.018,K
L,0,1448287,-8.253,4.132,3.855,-0.057,-0.025,-0.002,K
L,1,1448291,-8.851,0.749,3.644,-0.026,-0.001,-0.039,K
L,2,1448295,-9.137,0.113,3.049,-0.003,-0.024,-0.027,K
L,3,1448299,-9.559,-1.651,0.661,-0.004,0.003,-0.042,K
L,4,1448303,-8.921,-3.158,-0.223,-0.042,-0.012,-0.055,K
R,0,1467857,-10.657,-7.81,6.323,1.285,-1.447,-0.213,K
R,1,1467860,-11.018,-3.557,8.376,1.038,-1.695,0.503,K
R,2,1467863,-13.2,3.814,-3.146,-0.156,-1.824,1.858,K
R,3,1467866,-12.356,7.077,-4.624,-1.4,0.099,1.594,K
R,4,1467869,-11.609,7.281,-4.535,-1.182,0.24,1.714,K
L,0,1454307,-5.416,7.138,4.49,-0.038,-0.007,0.007,L
L,1,1454311,-7.459,3.868,4.691,-0.022,0.014,-0.028,L
L,2,1454315,-7.708,4.172,3.637,-0.001,-0.005,-0.017,L
L,3,1454319,-8.701,1.286,4.11,0.002,0.017,-0.027,L
L,4,1454323,-9.292,-0.007,2.749,-0.058,-0.005,-0.029,L
R,0,1473915,2.786,-1.258,6.475,-1.657,0.539,1.881,L
R,1,1473918,5.392,0.634,4.994,-0.993,2.275,1.407,L
R,2,1473921,-1.516,3.086,6.268,-0.408,1.515,-0.622,L
R,3,1473924,-5.023,1.597,6.08,-0.075,0.589,-0.078,L
R,4,1473928,-4.25,3.158,7.05,0.544,1.055,-0.407,L
L,0,1460327,-7.894,4.985,4.38,-0.138,0.1,0.145,L
L,1,1460331,-8.941,0.954,3.713,-0.17,0.036,0.126,L
L,2,1460335,-9.009,1.074,3.494,-0.122,0.055,0.123,L
L,3,1460339,-9.464,-1.177,2.096,-0.157,0.001,0.095,L
L,4,1460343,-9.128,-2.789,0.864,-0.2,0.046,0.09,L
R,0,1479973,-5.956,-6.589,2.956,-0.232,0.033,-0.035,L
R,1,1479976,-7.709,-1.367,3.648,-0.909,0.786,0.74,L
R,2,1479979,-7.833,3.638,-3.364,-0.392,0.824,-0.765,L
R,3,1479982,-8.619,4.1,-3.794,-0.025,0.017,0.086,L
R,4,1479985,-7.833,3.885,-4.017,-0.39,0.211,-0.801,L
L,0,1466347,-7.809,4.314,4.725,-0.067,-0.032,0.069,L
L,1,1466351,-8.758,0.356,3.937,-0.028,-0.034,0.023,L
L,2,1466355,-8.777,0.539,3.873,0.002,-0.045,0.047,L
L,3,1466359,-9.316,-1.902,2.2,-0.007,-0.054,-0.001,L
L,4,1466363,-8.9,-3.364,1.211,-0.051,-0.062,0.01,L
R,0,1486032,0.411,-5.582,8.237,0.407,0.08,-0.015,L
R,1,1486035,3.628,-1.172,8.738,0.615,0.217,-0.36,L
R,2,1486038,-9.242,2.224,-2.339,-0.065,0.187,0.655,L
R,3,1486041,-9.045,4.159,-0.453,-0.024,0.162,0.66,L
R,4,1486044,-7.888,5.371,2.489,0.136,0.201,0.6,L
L,0,1472367,-7.824,3.485,4.548,-0.051,-0.041,0.037,L
L,1,1472371,-8.466,-0.63,3.223,-0.015,-0.024,-0.004,L
L,2,1472375,-8.41,-0.509,3.455,0.017,-0.026,0.018,L
L,3,1472379,-8.808,-2.512,1.511,0.015,-0.016,-0.003,L
L,4,1472383,-8.218,-3.996,0.795,-0.047,-0.023,-0.004,L
R,0,1492089,-0.092,-4.281,8.039,0.439,-0.638,0.76,L
R,1,1492092,1.549,-1.469,7.988,1.177,-0.476,0.973,L
R,2,1492095,-9.039,2.555,-0.503,-0.905,0.992,0.432,L
R,3,1492098,-8.817,3.351,0.065,-1.062,0.834,0.129,L
R,4,1492101,-7.748,4.118,1.78,-1.225,1.31,0.059,L
L,0,1478387,-7.38,4.508,5.203,-0.025,-0.005,0.007,M
L,1,1478391,-8.504,0.591,4.476,-0.006,0.018,-0.02,M
L,2,1478395,-8.622,1.18,4.114,0.019,-0.004,-0.003,M
L,3,1478399,-9.124,-1.486,3.099,0.013,0.008,-0.011,M
L,4,1478403,-8.932,-3.081,1.943,-0.043,-0.002,-0.003,M
R,0,1498147,0.475,-0.259,10.095,-1.33,-0.238,0.411,M
R,1,1498150,-0.423,4.65,8.866,-0.926,-0.209,0.086,M
R,2,1498153,-5.292,8.873,2.362,-0.532,0.174,-0.764,M
R,3,1498156,-3.865,8.522,4.378,-0.606,0.406,-0.667,M
R,4,1498159,-1.657,9.23,4.237,-0.688,0.297,-0.622,M
L,0,1484407,-8.338,4.057,3.341,-0.045,-0.012,-0.018,M
L,1,1484411,-9.13,0.767,2.655,-0.023,0.021,-0.045,M
L,2,1484415,-9.309,0.719,2.391,0.007,-0.008,-0.033,M
L,3,1484419,-9.584,-1.045,1.426,0.017,0.015,-0.039,M
L,4,1484423,-9.147,-2.406,-0.443,-0.039,0.004,-0.019,M
R,0,1504205,-5.991,-4.702,5.713,-0.46,0.152,0.488,M
R,1,1504208,-7.202,-1.454,5.13,-0.287,0.381,0.43,M
R,2,1504211,-8.319,2.436,-2.999,-0.2,0.545,-0.104,M
R,3,1504214,-7.937,4.129,-2.386,-0.182,0.693,-0.001,M
R,4,1504217,-7.227,4.622,-2.334,-0.111,0.707,-0.131,M
L,0,1490427,-7.208,5.437,3.463,-0.033,-0.024,0.033,M
L,1,1490431,-8.365,2.519,3.304,0.003,0.002,-0.003,M
L,2,1490435,-8.63,2.518,2.586,0.033,-0.014,0.013,M
L,3,1490439,-9.0,0.318,3.09,0.03,-0.01,-0.003,M
L,4,1490443,-9.21,-1.071,0.818,-0.029,-0.008,0.009,M
R,0,1510263,-6.991,-4.213,-5.422,-0.057,-0.616,0.328,M
R,1,1510267,-10.549,2.582,-3.389,-0.365,-0.63,0.463,M
R,2,1510270,-6.619,1.142,-9.665,-0.714,-0.471,0.431,M
R,3,1510273,-2.781,3.595,-10.124,-0.719,-1.39,-0.026,M
R,4,1510276,-1.141,2.586,-9.829,-0.464,-1.091,0.528,M
L,0,1496447,-7.433,5.618,3.344,-0.025,0.002,0.014,M
L,1,1496451,-8.733,2.738,3.144,0.001,0.028,-0.01,M
L,2,1496455,-9.066,2.653,2.43,0.022,0.007,0.001,M
L,3,1496459,-9.468,0.42,3.031,0.02,0.007,-0.005,M
L,4,1496463,-9.681,-1.034,0.6,-0.036,-0.001,0.012,M
R,0,1516321,-8.285,2.157,-4.126,-0.303,-0.029,0.285,M
R,1,1516324,-9.103,2.929,-3.808,0.175,-0.309,0.262,M
R,2,1516327,-4.152,0.985,-9.4,0.363,-0.386,0.779,M
R,3,1516330,-0.456,3.336,-9.371,0.181,-0.905,0.226,M
R,4,1516333,0.795,1.146,-9.765,-0.017,-0.594,0.428,M
L,0,1502467,-7.414,5.635,3.294,-0.035,-0.02,0.016,M
L,1,1502471,-8.648,2.749,3.023,-0.009,0.012,-0.017,M
L,2,1502475,-8.898,2.642,2.296,0.018,-0.009,0.001,M
L,3,1502479,-9.236,0.462,2.988,0.015,0.006,-0.016,M
L,4,1502483,-9.451,-1.007,0.603,-0.036,-0.004,0.004,M
R,0,1522380,-7.823,6.175,-3.329,0.007,-0.322,-0.903,M
R,1,1522383,-5.505,7.311,-6.627,-0.115,-0.443,-0.724,M
R,2,1522386,2.591,5.483,-9.258,0.215,-0.694,-0.57,M
R,3,1522389,1.073,6.719,-7.635,-0.099,-0.349,-0.496,M
R,4,1522392,2.619,4.812,-7.79,-0.292,-0.384,-0.968,M
L,0,1508487,-3.755,8.814,4.156,-0.849,0.084,-1.038,M
L,1,1508491,-4.083,6.308,6.145,-0.906,0.524,-1.127,M
L,2,1508495,-3.309,6.936,3.919,-0.523,0.332,-1.743,M
L,3,1508499,-3.255,2.69,6.978,-0.072,1.361,-1.46,M
L,4,1508503,-6.104,2.313,5.108,0.39,0.529,-1.872,M
R,0,1528437,-4.095,1.423,9.102,-0.376,0.515,0.31,M
R,1,1528440,2.913,2.02,7.566,0.399,1.082,0.535,M
R,2,1528443,0.208,7.513,4.987,0.617,1.269,-0.252,M
R,3,1528446,-0.591,7.574,6.703,0.389,0.412,0.245,M
R,4,1528449,1.089,8.112,6.594,0.4,0.52,0.018,M
L,0,1514507,-2.591,6.02,8.201,-0.052,0.003,0.047,M
L,1,1514511,-2.479,2.332,9.203,0.026,-0.093,0.257,M
L,2,1514515,-2.96,4.954,7.503,-0.144,0.005,-0.053,M
L,3,1514519,-4.077,-1.01,9.287,0.054,0.055,-0.029,M
L,4,1514522,-7.201,-0.959,7.665,-0.124,-0.111,0.013,M
R,0,1534495,-6.926,-5.663,2.589,0.751,1.223,-0.399,M
R,1,1534498,-8.71,-0.482,4.164,1.105,0.471,-0.422,M
R,2,1534501,-9.05,3.727,-3.292,1.763,-0.48,0.161,M
R,3,1534504,-7.78,5.982,-2.944,1.45,-0.647,0.027,M
R,4,1534507,-7.061,6.002,-3.005,1.431,-0.602,0.126,M
L,0,1520527,-8.545,3.358,3.87,-0.019,0.011,-0.011,M
L,1,1520531,-8.839,0.601,3.596,-0.002,0.037,-0.033,M
L,2,1520535,-9.212,0.796,2.781,0.021,0.008,-0.024,M
L,3,1520539,-9.464,-1.119,2.279,0.017,0.032,-0.024,M
L,4,1520543,-9.063,-2.861,-0.354,-0.059,0.019,0.007,M
R,0,1540553,-2.79,-6.931,1.335,0.321,-0.447,-0.035,M
R,1,1540556,-5.49,-3.075,3.632,0.612,-0.62,0.384,M
R,2,1540559,-8.232,0.713,-0.523,-0.185,-0.102,0.79,M
R,3,1540562,-6.543,2.24,-2.144,-0.603,0.627,0.442,M
R,4,1540566,-6.217,2.221,-1.991,-0.378,0.62,0.455,M
L,0,1526547,-7.66,5.695,2.683,-0.091,-0.018,-0.086,M
L,1,1526551,-8.648,2.832,3.048,-0.05,-0.001,-0.116,M
L,2,1526555,-9.09,2.436,1.803,-0.065,-0.041,-0.144,M
L,3,1526559,-9.396,1.012,1.852,-0.03,0.053,-0.157,M
L,4,1526563,-9.333,-0.62,-0.289,-0.057,0.013,-0.124,M
R,0,1546611,-9.019,-1.451,1.279,0.41,0.54,1.996,M
R,1,1546614,-7.298,1.636,1.264,0.531,0.889,2.793,M
R,2,1546617,-5.186,3.497,-5.349,-0.976,2.397,1.57,M
R,3,1546621,-6.375,4.572,-4.614,-0.812,2.426,1.556,M
R,4,1546624,-5.489,3.748,-5.291,-0.683,2.701,0.955,M
L,0,1532567,-7.47,5.727,2.632,-0.032,0.011,0.062,N
L,1,1532571,-8.659,2.99,3.133,-0.002,0.002,0.032,N
L,2,1532575,-9.085,2.759,1.814,0.033,0.007,0.063,N
L,3,1532579,-9.401,1.148,2.114,0.011,-0.028,0.038,N
L,4,1532583,-9.403,-0.557,-0.162,-0.052,-0.01,0.047,N
R,0,1552669,-6.766,-6.147,5.371,1.741,1.084,0.031,N
R,1,1552672,-7.313,-0.966,6.977,2.328,0.322,-0.845,N
R,2,1552675,-9.238,4.202,-0.204,2.332,-0.216,1.091,N
R,3,1552678,-8.017,5.103,0.858,2.408,-0.695,0.97,N
R,4,1552681,-7.143,5.851,0.25,2.421,-0.67,1.097,N
L,0,1538587,-7.974,5.036,2.753,-0.313,0.077,-0.047,N
L,1,1538591,-8.811,2.363,2.978,-0.342,0.063,-0.068,N
L,2,1538595,-9.224,2.033,2.058,-0.284,0.042,-0.028,N
L,3,1538599,-9.613,0.365,1.847,-0.277,0.03,-0.079,N
L,4,1538603,-9.341,-1.329,-0.441,-0.246,-0.055,-0.197,N
R,0,1558728,-9.081,-1.538,4.276,-2.41,3.212,3.199,N
R,1,1558731,-10.523,-0.438,2.784,-0.708,4.533,2.023,N
R,2,1558734,-8.398,2.039,-6.721,0.295,5.119,-1.035,N
R,3,1558737,-5.246,5.541,-7.594,0.665,5.593,0.746,N
R,4,1558740,-4.687,4.338,-8.001,1.25,5.615,-0.662,N
L,0,1544607,-7.319,5.444,3.815,-0.008,0.01,0.028,Ñ
L,1,1544611,-8.157,2.391,4.663,0.012,0.04,-0.0,Ñ
L,2,1544615,-8.997,2.24,2.917,0.038,0.018,0.017,Ñ
L,3,1544619,-8.94,0.687,4.247,0.031,0.022,0.013,Ñ
L,4,1544622,-9.706,-0.181,1.367,-0.012,0.027,0.043,Ñ
R,0,1564785,-5.347,-6.041,5.23,-0.2,1.242,-0.058,Ñ
R,1,1564788,-6.689,-3.642,6.798,0.338,0.814,-0.35,Ñ
R,2,1564791,-9.335,2.828,0.424,0.974,0.391,-0.202,Ñ
R,3,1564794,-8.116,4.134,0.705,0.944,0.416,-0.075,Ñ
R,4,1564797,-8.297,5.015,0.834,0.877,0.361,-0.169,Ñ
L,0,1550627,-8.521,4.243,2.814,-0.055,-0.033,0.051,Ñ
L,1,1550631,-8.979,1.775,2.944,-0.02,-0.013,-0.001,Ñ
L,2,1550635,-9.185,1.703,2.338,0.004,-0.027,0.008,Ñ
L,3,1550639,-9.512,-0.08,1.776,-0.007,-0.013,-0.028,Ñ
L,4,1550642,-9.267,-1.524,-0.499,-0.068,-0.043,-0.055,Ñ
R,0,1570843,-6.34,-3.421,6.904,-0.32,-0.107,0.106,Ñ
R,1,1570846,-6.959,0.086,6.6,-0.167,-0.078,0.091,Ñ
R,2,1570849,-8.271,5.434,-0.749,-0.153,-0.026,-0.019,Ñ
R,3,1570852,-7.169,6.778,0.279,-0.204,0.064,0.015,Ñ
R,4,1570855,-6.318,7.234,-0.369,-0.231,0.079,-0.001,Ñ
L,0,1556647,-8.414,3.669,5.089,0.587,0.03,-0.238,Ñ
L,1,1556651,-8.495,1.344,5.503,0.31,0.353,-0.027,Ñ
L,2,1556655,-8.954,1.861,4.568,0.346,0.257,-0.005,Ñ
L,3,1556659,-9.928,-1.043,3.646,0.251,0.238,0.218,Ñ
L,4,1556662,-10.427,-2.41,1.128,0.074,0.386,0.371,Ñ
R,0,1576901,-8.747,-0.225,-1.495,-1.234,3.03,0.659,Ñ
R,1,1576904,-9.464,3.369,-2.443,0.517,2.848,-0.579,Ñ
R,2,1576907,-2.552,2.817,-10.145,2.122,2.186,-0.994,Ñ
R,3,1576910,-0.571,5.909,-8.505,1.96,2.75,0.216,Ñ
R,4,1576913,-0.662,4.724,-8.598,2.101,2.617,-0.582,Ñ
L,0,1562667,-6.773,6.024,3.934,-0.033,0.001,-0.009,Ñ
L,1,1562671,-7.245,4.421,4.604,-0.005,0.027,-0.033,Ñ
L,2,1562675,-7.472,4.693,3.729,0.017,0.007,-0.021,Ñ
L,3,1562679,-8.38,1.672,4.933,0.017,0.028,-0.021,Ñ
L,4,1562683,-9.524,0.709,1.873,-0.033,0.021,-0.006,Ñ
R,0,1582959,-5.234,-5.059,7.738,-0.076,-0.032,0.332,Ñ
R,1,1582962,-7.143,-2.025,8.12,0.05,0.004,0.42,Ñ
R,2,1582965,-11.115,4.269,1.064,-0.16,0.241,0.227,Ñ
R,3,1582968,-9.736,5.488,1.964,-0.312,0.312,0.375,Ñ
R,4,1582972,-8.379,6.302,1.792,-0.385,0.374,0.309,Ñ
L,0,1568687,-8.581,4.639,0.753,0.034,-0.373,-0.086,O
L,1,1568691,-12.117,6.946,5.375,0.054,-0.464,0.235,O
L,2,1568695,-8.716,6.015,2.087,-0.085,-0.389,-0.173,O
L,3,1568699,-8.958,4.112,4.104,0.043,-0.054,-0.469,O
L,4,1568703,-9.929,2.822,-0.245,0.173,-0.196,-0.427,O
R,0,1589017,-5.151,-1.607,-7.891,-0.183,-0.009,0.028,O
R,1,1589020,-5.334,0.928,-8.677,-0.058,0.014,-0.004,O
R,2,1589023,1.597,-2.002,-9.463,0.008,-0.032,-0.067,O
R,3,1589026,4.532,0.0,-8.996,-0.028,0.038,-0.013,O
R,4,1589029,3.886,-0.676,-8.877,-0.049,0.028,-0.022,O
L,0,1574707,-8.442,4.401,2.198,-0.031,-0.004,-0.009,O
L,1,1574711,-8.65,3.218,2.671,-0.015,0.018,-0.025,O
L,2,1574715,-8.912,3.22,1.945,0.02,-0.035,0.003,O
L,3,1574719,-9.639,1.459,2.217,0.027,0.009,-0.013,O
L,4,1574723,-9.614,-0.153,-0.66,-0.024,0.012,-0.006,O
R,0,1595076,-3.197,-5.423,9.433,-0.537,0.163,-1.158,O
R,1,1595079,-8.502,-0.808,6.321,0.018,0.632,-0.962,O
R,2,1595082,-9.175,5.268,1.888,0.478,-0.122,-0.909,O
R,3,1595085,-7.144,6.772,3.511,0.31,0.215,-0.883,O
R,4,1595088,-4.709,7.885,4.566,-0.06,-0.001,-0.831,O
L,0,1580727,-8.351,4.052,3.432,0.041,0.082,-0.037,P
L,1,1580731,-8.17,2.932,4.123,0.066,0.114,-0.024,P
L,2,1580735,-8.42,3.554,3.164,0.103,0.089,-0.037,P
L,3,1580739,-8.885,1.24,4.165,0.098,0.098,0.01,P
L,4,1580743,-9.671,0.329,0.688,0.015,0.12,0.067,P
R,0,1601133,-5.21,-7.524,3.535,-0.029,0.174,0.322,P
R,1,1601136,-8.399,-4.047,3.798,0.451,0.08,0.265,P
R,2,1601139,-9.776,1.601,-1.483,0.306,0.056,0.598,P
R,3,1601142,-8.952,4.447,-1.63,-0.037,0.089,0.335,P
R,4,1601145,-8.471,4.719,-1.648,-0.01,0.06,0.452,P
L,0,1586747,-8.813,2.85,3.09,-0.014,-0.034,-0.043,P
L,1,1586751,-8.975,0.97,2.878,0.017,0.014,-0.07,P
L,2,1586755,-9.149,1.137,2.527,0.04,-0.012,-0.041,P
L,3,1586759,-9.465,-0.687,1.721,0.019,-0.023,0.007,P
L,4,1586763,-9.17,-1.846,-0.942,-0.037,0.022,0.002,P
R,0,1607191,-5.751,-7.047,2.977,-0.195,0.031,-0.005,P
R,1,1607194,-8.212,-2.823,3.284,-0.062,0.017,-0.043,P
R,2,1607197,-9.131,1.666,-1.917,0.025,-0.01,0.018,P
R,3,1607200,-8.326,3.966,-2.482,-0.026,0.053,-0.003,P
R,4,1607203,-7.94,4.122,-2.229,-0.046,0.053,-0.025,P
L,0,1592767,-8.796,3.114,2.965,-0.047,0.001,0.006,P
L,1,1592771,-9.0,1.246,2.777,-0.016,0.012,-0.021,P
L,2,1592775,-9.199,1.316,2.438,0.008,-0.008,-0.008,P
L,3,1592779,-9.6,-0.534,1.632,0.006,0.002,-0.018,P
L,4,1592783,-9.183,-1.717,-0.96,-0.037,-0.013,-0.005,P
R,0,1613249,-6.662,-1.279,-6.791,-0.904,0.004,-0.27,P
R,1,1613252,-7.616,1.067,-6.26,-0.278,0.091,-0.326,P
R,2,1613255,-4.355,-2.368,-8.871,0.21,-0.614,-0.223,P
R,3,1613258,-3.547,-0.06,-9.358,-0.015,-0.306,-0.377,P
R,4,1613261,-2.162,-1.444,-8.82,-0.002,-0.315,-0.285,P
L,0,1598787,-6.961,5.446,3.718,-0.005,0.019,-0.013,P
L,1,1598791,-7.044,4.058,4.73,0.018,0.051,-0.027,P
L,2,1598795,-7.18,4.658,3.637,0.054,0.034,-0.015,P
L,3,1598799,-8.146,1.627,4.912,0.048,0.054,0.007,P
L,4,1598803,-9.34,1.026,1.784,-0.015,0.071,0.049,P
R,0,1619307,-8.191,-2.91,-1.567,-0.908,-1.595,-0.808,P
R,1,1619310,-7.742,3.33,-3.417,-1.192,-0.657,-0.684,P
R,2,1619313,-1.732,3.561,-8.441,-0.911,-0.625,-1.316,P
R,3,1619316,-3.76,4.154,-7.09,-1.407,-0.263,-0.912,P
R,4,1619319,-3.25,2.963,-7.242,-1.558,-0.3,-0.759,P
L,0,1604807,-7.441,5.708,2.846,-0.051,-0.066,0.033,P
L,1,1604811,-7.677,4.183,3.672,-0.018,-0.037,-0.019,P
L,2,1604815,-7.754,4.499,2.756,0.007,-0.055,0.003,P
L,3,1604819,-8.474,1.943,4.029,0.011,-0.036,-0.037,P
L,4,1604823,-9.279,0.857,0.98,-0.028,-0.044,-0.014,P
R,0,1625365,-5.905,-4.251,-4.671,-0.558,2.482,1.796,P
R,1,1625368,-6.029,0.956,-7.122,0.256,1.602,1.546,P
R,2,1625371,2.552,-0.154,-8.861,-0.193,2.035,1.123,P
R,3,1625374,-2.217,0.652,-9.58,0.955,2.177,1.483,P
R,4,1625377,-3.615,-0.141,-8.95,1.36,2.433,1.12,P
L,0,1610827,-7.313,5.827,2.774,-0.06,-0.086,0.047,P
L,1,1610831,-7.685,4.323,3.784,-0.027,-0.076,-0.01,P
L,2,1610835,-7.752,4.602,2.796,0.002,-0.093,0.02,P
L,3,1610839,-8.428,1.966,4.214,0.005,-0.076,-0.048,P
L,4,1610843,-9.311,0.913,1.217,-0.026,-0.092,-0.027,P
R,0,1631424,-4.445,-3.148,7.848,-0.273,-0.103,0.065,P
R,1,1631427,-6.513,-0.408,6.636,-0.243,0.035,0.039,P
R,2,1631430,-7.95,4.993,0.302,-0.135,-0.019,-0.147,P
R,3,1631433,-6.97,6.127,1.511,-0.155,0.12,-0.055,P
R,4,1631436,-5.757,7.125,1.077,-0.169,0.102,-0.06,P
L,0,1616847,-9.477,6.452,1.678,-0.058,-0.304,0.218,R
L,1,1616851,-9.468,6.293,4.283,-0.428,-0.249,0.048,R
L,2,1616855,-11.915,7.605,2.929,-0.294,-0.375,0.307,R
L,3,1616859,-10.809,4.476,5.077,-0.32,-0.258,-0.185,R
L,4,1616863,-11.472,3.402,0.093,-0.105,-0.271,-0.257,R
R,0,1637481,-2.127,-3.559,1.682,-0.825,-2.098,-0.819,R
R,1,1637484,-4.822,-3.711,-0.201,-1.285,-1.196,-1.386,R
R,2,1637487,-6.565,-2.024,-2.462,-1.02,-1.601,-1.456,R
R,3,1637490,-6.901,-0.555,-3.905,-1.158,-1.215,-1.726,R
R,4,1637493,-6.905,-0.054,-4.203,-1.084,-1.44,-1.281,R
L,0,1622867,-8.491,4.034,2.332,-0.078,-0.034,-0.018,R
L,1,1622871,-8.513,3.017,3.069,-0.039,0.019,-0.074,R
L,2,1622875,-8.724,3.147,2.18,-0.007,-0.006,-0.08,R
L,3,1622879,-9.285,1.265,2.203,0.007,0.047,-0.082,R
L,4,1622883,-9.16,-0.001,-0.786,-0.036,0.002,-0.068,R
R,0,1643539,-4.244,-4.317,5.952,-0.102,-0.916,-0.112,R
R,1,1643542,-4.884,-1.255,5.824,-0.151,-0.763,-0.194,R
R,2,1643545,-6.011,3.815,1.458,-0.62,-0.58,0.024,R
R,3,1643548,-5.667,4.663,1.693,-0.897,-0.181,-0.087,R
R,4,1643551,-5.007,5.315,1.161,-0.82,-0.172,-0.025,R
L,0,1628887,-7.019,5.124,4.823,0.896,-0.136,0.39,R
L,1,1628891,-6.078,4.142,4.316,1.094,0.006,0.189,R
L,2,1628895,-6.433,5.063,3.102,0.51,0.245,0.248,R
L,3,1628899,-7.506,2.193,4.646,0.678,-0.095,0.568,R
L,4,1628903,-8.432,1.172,1.022,0.432,0.117,1.104,R
R,0,1649597,-0.488,-0.403,9.158,-0.552,-0.04,-1.054,R
R,1,1649600,-2.496,5.055,8.01,0.691,0.15,-1.661,R
